tx_id,timestamp,sender_account,receiver_account,origin_region,destination_region,amount,currency,narrative,channel,chain_id,risk_signal,label
RB-000252,2026-01-05 13:00:00,DELTA-82255,DELTA-69222,United Kingdom,United Arab Emirates,15239.61,USD,shipping invoice,wire,,none,legitimate
RB-000275,2026-01-05 13:00:00,DELTA-52767,NOVA-90683,United States,United Arab Emirates,2531.67,EUR,tax remittance,card,,none,legitimate
RB-000123,2026-01-05 15:00:00,EAST-92503,ALPHA-43291,United Kingdom,United Arab Emirates,5399.09,SGD,payroll batch,card,,none,legitimate
RB-000004,2026-01-05 16:00:00,NOVA-30643,BRIDGE-37488,United Kingdom,Singapore,43488.68,HKD,shipping invoice,ach,RULE-0004,large transfer threshold,suspicious
RB-000132,2026-01-05 16:00:00,NOVA-46459,DELTA-62091,United Kingdom,United Arab Emirates,7379.83,GBP,payroll batch,wire,,none,legitimate
RB-000292,2026-01-05 17:00:00,CROWN-40102,EAST-93158,United Kingdom,Singapore,5200.54,USD,monthly supplier payment,card,,none,legitimate
RB-000210,2026-01-05 21:00:00,ALPHA-14673,EAST-72359,United States,Singapore,18187.29,GBP,platform settlement,card,,none,legitimate
RB-000243,2026-01-05 21:00:00,BRIDGE-41711,BRIDGE-93924,United Kingdom,Hong Kong,4595.81,HKD,shipping invoice,wire,,none,legitimate
RB-000099,2026-01-05 22:00:00,DELTA-87458,NOVA-90472,United States,Hong Kong,2144.6,SGD,payroll batch,ach,,none,legitimate
RB-000242,2026-01-05 22:00:00,DELTA-69374,BRIDGE-27166,United States,United Arab Emirates,2319.93,USD,tax remittance,wire,,none,legitimate
RB-000176,2026-01-06 00:00:00,BRIDGE-27166,BRIDGE-99401,United States,Hong Kong,1873.8,EUR,software subscription,ach,,none,legitimate
RB-000014,2026-01-06 07:00:00,ALPHA-43291,CROWN-60661,United States,Singapore,40706.48,GBP,monthly supplier payment,wallet,RULE-0014,large transfer threshold,suspicious
RB-000007,2026-01-06 09:00:00,EAST-47885,ALPHA-71602,United States,Hong Kong,37712.45,USD,software subscription,card,RULE-0007,large transfer threshold,suspicious
RB-000187,2026-01-06 10:00:00,ALPHA-96828,DELTA-73808,United States,Singapore,6882.46,GBP,payroll batch,ach,,none,legitimate
RB-000112,2026-01-06 10:00:00,EAST-11966,ALPHA-69943,United States,Hong Kong,5897.13,SGD,software subscription,card,,none,legitimate
RB-000177,2026-01-06 12:00:00,DELTA-62091,EAST-93158,United Kingdom,Singapore,2932.33,USD,tax remittance,card,,none,legitimate
RB-000116,2026-01-06 12:00:00,DELTA-24129,CROWN-60661,United States,United Arab Emirates,6803.67,EUR,monthly supplier payment,ach,,none,legitimate
RB-000213,2026-01-06 17:00:00,DELTA-62091,NOVA-46459,United Kingdom,Hong Kong,20001.36,SGD,shipping invoice,wallet,,none,legitimate
RB-000013,2026-01-06 19:00:00,ALPHA-71602,DELTA-19573,United Kingdom,Singapore,37674.53,EUR,monthly supplier payment,wire,RULE-0013,large transfer threshold,suspicious
RB-000016,2026-01-06 21:00:00,ALPHA-96828,BRIDGE-37488,United States,Hong Kong,37028.83,USD,platform settlement,wallet,RULE-0016,large transfer threshold,suspicious
RB-000266,2026-01-06 22:00:00,EAST-92503,EAST-18279,United States,United Arab Emirates,1714.53,SGD,shipping invoice,ach,,none,legitimate
RB-000098,2026-01-07 04:00:00,DELTA-73808,CROWN-60661,United Kingdom,Hong Kong,1302.88,GBP,tax remittance,wire,,none,legitimate
RB-000011,2026-01-07 08:00:00,DELTA-24129,NOVA-10071,United Kingdom,Hong Kong,46971.22,SGD,platform settlement,ach,RULE-0011,large transfer threshold,suspicious
RB-000128,2026-01-07 09:00:00,EAST-93158,DELTA-62091,United States,United Arab Emirates,6036.42,EUR,payroll batch,ach,,none,legitimate
RB-000075,2026-01-07 11:00:00,EAST-86989,DELTA-24129,United Kingdom,Hong Kong,1814.79,EUR,software subscription,wire,,none,legitimate
RB-000222,2026-01-07 13:00:00,EAST-72359,EAST-34692,United Kingdom,Hong Kong,3189.69,SGD,software subscription,wallet,,none,legitimate
RB-000218,2026-01-07 14:00:00,ALPHA-14673,BRIDGE-93924,United States,Singapore,5616.82,EUR,tax remittance,wallet,,none,legitimate
RB-000122,2026-01-07 15:00:00,CROWN-54157,BRIDGE-21884,United Kingdom,United Arab Emirates,3347.7,SGD,tax remittance,wire,,none,legitimate
RB-000251,2026-01-07 15:00:00,DELTA-69374,BRIDGE-93924,United States,Hong Kong,1048.63,GBP,platform settlement,ach,,none,legitimate
RB-000254,2026-01-07 16:00:00,NOVA-23244,BRIDGE-37488,United Kingdom,Singapore,5340.11,SGD,payroll batch,wallet,,none,legitimate
RB-000299,2026-01-07 17:00:00,BRIDGE-99401,EAST-34692,United Kingdom,Hong Kong,3075.28,GBP,software subscription,wire,,none,legitimate
RB-000274,2026-01-07 20:00:00,BRIDGE-21884,BRIDGE-41711,United Kingdom,Singapore,6364.22,HKD,software subscription,card,,none,legitimate
RB-000040,2026-01-07 23:00:00,CROWN-60661,BRIDGE-99401,United Kingdom,Hong Kong,47140.31,EUR,monthly supplier payment,wallet,RULE-0040,large transfer threshold,suspicious
RB-000045,2026-01-07 23:00:00,BRIDGE-22336,ALPHA-19204,United Kingdom,United Arab Emirates,44464.75,EUR,tax remittance,wallet,RULE-0045,large transfer threshold,suspicious
RB-000140,2026-01-07 23:00:00,ALPHA-71602,EAST-93158,United States,Singapore,1012.59,GBP,payroll batch,card,,none,legitimate
RB-000130,2026-01-08 00:00:00,EAST-86989,ALPHA-88045,United Kingdom,Singapore,15259.24,USD,platform settlement,wallet,,none,legitimate
RB-000077,2026-01-08 00:00:00,DELTA-24129,EAST-93158,United Kingdom,Singapore,4993.97,EUR,tax remittance,wallet,,none,legitimate
RB-000226,2026-01-08 01:00:00,EAST-92503,CROWN-11985,United Kingdom,Hong Kong,5971.88,EUR,payroll batch,wallet,,none,legitimate
RB-000273,2026-01-08 02:00:00,DELTA-69374,ALPHA-17850,United States,United Arab Emirates,2410.24,HKD,shipping invoice,wire,,none,legitimate
RB-000283,2026-01-08 04:00:00,NOVA-46459,CROWN-75506,United Kingdom,Singapore,1082.2,SGD,platform settlement,card,,none,legitimate
RB-000022,2026-01-08 05:00:00,BRIDGE-37488,DELTA-87458,United Kingdom,Singapore,39072.39,USD,tax remittance,wire,RULE-0022,large transfer threshold,suspicious
RB-000059,2026-01-08 05:00:00,EAST-34692,ALPHA-69943,United Kingdom,United Arab Emirates,2868.73,GBP,shipping invoice,ach,,none,legitimate
RB-000085,2026-01-08 05:00:00,ALPHA-19204,BRIDGE-42294,United States,Hong Kong,7463.65,SGD,software subscription,ach,,none,legitimate
RB-000137,2026-01-08 06:00:00,ALPHA-17850,NOVA-90472,United States,Singapore,1326.91,HKD,shipping invoice,card,,none,legitimate
RB-000005,2026-01-08 06:00:00,BRIDGE-37488,EAST-47885,United Kingdom,Hong Kong,45514.92,EUR,platform settlement,ach,RULE-0005,large transfer threshold,suspicious
RB-000142,2026-01-08 07:00:00,DELTA-73808,BRIDGE-98461,United Kingdom,United Arab Emirates,1277.46,SGD,software subscription,wire,,none,legitimate
RB-000115,2026-01-08 11:00:00,ALPHA-17850,DELTA-87458,United Kingdom,United Arab Emirates,2979.95,EUR,tax remittance,card,,none,legitimate
RB-000117,2026-01-08 13:00:00,EAST-34692,BRIDGE-27166,United States,Hong Kong,2562.53,GBP,platform settlement,wire,,none,legitimate
RB-000207,2026-01-08 14:00:00,DELTA-82255,BRIDGE-99401,United Kingdom,United Arab Emirates,5780.76,GBP,tax remittance,card,,none,legitimate
RB-000235,2026-01-08 14:00:00,DELTA-82255,DELTA-49767,United Kingdom,Hong Kong,3682.29,GBP,software subscription,ach,,none,legitimate
RB-000156,2026-01-09 01:00:00,DELTA-69222,DELTA-87458,United States,Singapore,4963.21,SGD,software subscription,wallet,,none,legitimate
RB-000264,2026-01-09 07:00:00,ALPHA-14673,EAST-72359,United States,United Arab Emirates,3289.96,GBP,platform settlement,card,,none,legitimate
RB-000141,2026-01-09 08:00:00,DELTA-76698,ALPHA-88045,United States,Singapore,2858.31,USD,shipping invoice,ach,,none,legitimate
RB-000119,2026-01-09 09:00:00,DELTA-69222,DELTA-73808,United Kingdom,Hong Kong,4789.98,USD,shipping invoice,ach,,none,legitimate
RB-000196,2026-01-09 09:00:00,ALPHA-19204,EAST-86989,United States,United Arab Emirates,2027.89,HKD,payroll batch,wire,,none,legitimate
RB-000133,2026-01-09 09:00:00,ALPHA-14673,BRIDGE-78042,United Kingdom,Singapore,5281.97,SGD,monthly supplier payment,wallet,,none,legitimate
RB-000006,2026-01-09 10:00:00,EAST-34692,DELTA-62091,United States,United Arab Emirates,39482.31,HKD,payroll batch,wallet,RULE-0006,large transfer threshold,suspicious
RB-000058,2026-01-09 10:00:00,NOVA-10071,ALPHA-71602,United Kingdom,Singapore,2420.56,GBP,monthly supplier payment,ach,,none,legitimate
RB-000048,2026-01-09 12:00:00,ALPHA-71602,DELTA-87458,United States,Hong Kong,46118.15,USD,payroll batch,ach,RULE-0048,large transfer threshold,suspicious
RB-000136,2026-01-09 14:00:00,NOVA-10071,CROWN-11985,United States,United Arab Emirates,9954.21,USD,tax remittance,ach,,none,legitimate
RB-000021,2026-01-09 14:00:00,DELTA-87458,ALPHA-69943,United Kingdom,Hong Kong,43792.06,EUR,shipping invoice,ach,RULE-0021,large transfer threshold,suspicious
RB-000126,2026-01-09 15:00:00,ALPHA-14673,NOVA-90683,United Kingdom,United Arab Emirates,5908.58,USD,platform settlement,card,,none,legitimate
RB-000239,2026-01-09 16:00:00,BRIDGE-21884,DELTA-73808,United Kingdom,Singapore,1978.0,USD,shipping invoice,card,,none,legitimate
RB-000031,2026-01-09 17:00:00,CROWN-40102,DELTA-87458,United States,United Arab Emirates,43641.19,USD,payroll batch,ach,RULE-0031,large transfer threshold,suspicious
RB-000257,2026-01-09 21:00:00,EAST-92503,BRIDGE-34203,United Kingdom,Singapore,4629.58,SGD,software subscription,wire,,none,legitimate
RB-000090,2026-01-09 22:00:00,EAST-72359,DELTA-52767,United States,United Arab Emirates,2864.05,GBP,shipping invoice,card,,none,legitimate
RB-000201,2026-01-09 23:00:00,BRIDGE-93924,DELTA-62091,United States,Hong Kong,4452.81,USD,tax remittance,wallet,,none,legitimate
RB-000091,2026-01-10 01:00:00,EAST-13942,EAST-93158,United Kingdom,United Arab Emirates,5629.27,GBP,platform settlement,wire,,none,legitimate
RB-000096,2026-01-10 02:00:00,BRIDGE-99401,DELTA-69222,United States,United Arab Emirates,4438.34,EUR,software subscription,card,,none,legitimate
RB-000247,2026-01-10 05:00:00,NOVA-10071,EAST-93158,United Kingdom,Singapore,10400.27,GBP,software subscription,card,,none,legitimate
RB-000294,2026-01-10 10:00:00,EAST-72359,NOVA-10071,United States,United Arab Emirates,4636.8,USD,software subscription,card,,none,legitimate
RB-000079,2026-01-10 11:00:00,DELTA-25465,BRIDGE-21884,United Kingdom,Hong Kong,783.47,HKD,platform settlement,card,,none,legitimate
RB-000139,2026-01-10 11:00:00,DELTA-25465,BRIDGE-21884,United States,United Arab Emirates,10316.44,GBP,payroll batch,card,,none,legitimate
RB-000151,2026-01-10 13:00:00,BRIDGE-27166,ALPHA-43291,United Kingdom,Hong Kong,2004.36,SGD,tax remittance,wire,,none,legitimate
RB-000179,2026-01-10 16:00:00,ALPHA-96828,ALPHA-14673,United States,Singapore,4245.3,HKD,shipping invoice,wire,,none,legitimate
RB-000010,2026-01-10 16:00:00,EAST-72359,BRIDGE-41711,United States,Hong Kong,41158.26,EUR,platform settlement,card,RULE-0010,large transfer threshold,suspicious
RB-000221,2026-01-10 16:00:00,EAST-18279,EAST-92503,United Kingdom,Singapore,1094.44,EUR,software subscription,ach,,none,legitimate
RB-000008,2026-01-10 20:00:00,EAST-18279,BRIDGE-42294,United Kingdom,United Arab Emirates,44192.4,SGD,platform settlement,ach,RULE-0008,large transfer threshold,suspicious
RB-000082,2026-01-10 21:00:00,DELTA-83370,BRIDGE-41711,United Kingdom,Hong Kong,1401.7,HKD,monthly supplier payment,wire,,none,legitimate
RB-000043,2026-01-10 22:00:00,NOVA-46459,DELTA-62091,United States,United Arab Emirates,37204.44,USD,monthly supplier payment,ach,RULE-0043,large transfer threshold,suspicious
RB-000078,2026-01-10 23:00:00,CROWN-40102,ALPHA-71602,United Kingdom,Singapore,2129.3,HKD,payroll batch,card,,none,legitimate
RB-000041,2026-01-11 02:00:00,NOVA-46459,BRIDGE-99401,United States,Singapore,46457.38,SGD,payroll batch,card,RULE-0041,large transfer threshold,suspicious
RB-000083,2026-01-11 07:00:00,EAST-11966,CROWN-60661,United States,Hong Kong,1103.26,EUR,software subscription,ach,,none,legitimate
RB-000025,2026-01-11 08:00:00,ALPHA-71602,EAST-86989,United Kingdom,Singapore,43919.94,HKD,monthly supplier payment,ach,RULE-0025,large transfer threshold,suspicious
RB-000205,2026-01-11 08:00:00,ALPHA-19204,CROWN-11985,United States,Hong Kong,4360.21,SGD,payroll batch,wallet,,none,legitimate
RB-000053,2026-01-11 09:00:00,NOVA-30643,DELTA-69374,United States,United Arab Emirates,45596.22,USD,payroll batch,wallet,RULE-0053,large transfer threshold,suspicious
RB-000044,2026-01-11 10:00:00,EAST-93158,EAST-11966,United Kingdom,United Arab Emirates,37022.47,GBP,payroll batch,wallet,RULE-0044,large transfer threshold,suspicious
RB-000227,2026-01-11 14:00:00,DELTA-62091,BRIDGE-98461,United States,United Arab Emirates,7011.17,EUR,monthly supplier payment,wallet,,none,legitimate
RB-000220,2026-01-11 15:00:00,BRIDGE-99401,NOVA-10071,United Kingdom,Singapore,4185.17,GBP,platform settlement,wallet,,none,legitimate
RB-000164,2026-01-11 16:00:00,EAST-24146,BRIDGE-98461,United Kingdom,Singapore,1150.83,HKD,monthly supplier payment,ach,,none,legitimate
RB-000062,2026-01-11 18:00:00,BRIDGE-41711,BRIDGE-98461,United Kingdom,Hong Kong,3481.26,SGD,software subscription,ach,,none,legitimate
RB-000107,2026-01-11 20:00:00,DELTA-25465,DELTA-49767,United States,Hong Kong,6014.34,USD,shipping invoice,wire,,none,legitimate
RB-000161,2026-01-11 21:00:00,EAST-92503,BRIDGE-22336,United Kingdom,Singapore,2467.74,SGD,tax remittance,ach,,none,legitimate
RB-000018,2026-01-11 23:00:00,DELTA-24129,NOVA-23244,United States,Singapore,42225.4,USD,payroll batch,wire,RULE-0018,large transfer threshold,suspicious
RB-000238,2026-01-11 23:00:00,DELTA-83370,NOVA-23244,United States,Hong Kong,7407.31,EUR,platform settlement,wallet,,none,legitimate
